"path","role","proposed_action","reason","size_bytes","last_modified"
"components\cat-2\c2-e-form-intake-pipeline\test-payloads\typeform-ref-form.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1444","2026-05-26 01:08:47"
"components\cat-2\c2-e-form-intake-pipeline\test-payloads\upstream-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","669","2026-05-26 01:08:47"
"components\cat-2\c2-e-form-intake-pipeline\test-payloads\website-form.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1263","2026-05-26 01:08:47"
"components\cat-2\c2-e-form-intake-pipeline\workflows\c2-e-core-form-intake-pipeline-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","11939","2026-05-26 01:17:54"
"components\cat-2\c2-f-payload-validation-layer\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","4182","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\output-samples\error-empty-payload.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","952","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\output-samples\error-invalid-email.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","851","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\output-samples\error-min-length.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","856","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\output-samples\error-missing-required-field.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","814","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\output-samples\success-output.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","610","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\test-payloads\empty-payload.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","637","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\test-payloads\lead-intake.invalid-email.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","788","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\test-payloads\lead-intake.missing-email.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","756","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\test-payloads\lead-intake.short-message.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","770","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\test-payloads\lead-intake.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","789","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\test-payloads\payment-success.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","904","2026-05-25 14:41:36"
"components\cat-2\c2-f-payload-validation-layer\workflows\c2-f-core-payload-validator-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","11482","2026-05-25 14:41:36"
"components\cat-2\c2-g-file-upload-routing\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","5780","2026-05-26 12:40:23"
"components\cat-2\c2-g-file-upload-routing\output-samples\error-blocked-extension.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","741","2026-05-26 12:41:11"
"components\cat-2\c2-g-file-upload-routing\output-samples\error-file-routing-not-requested.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","587","2026-05-26 12:41:11"
"components\cat-2\c2-g-file-upload-routing\output-samples\error-missing-file.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","558","2026-05-26 12:41:11"
"components\cat-2\c2-g-file-upload-routing\output-samples\error-oversized-file.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","737","2026-05-26 12:41:11"
"components\cat-2\c2-g-file-upload-routing\output-samples\error-upstream-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","660","2026-05-26 12:41:11"
"components\cat-2\c2-g-file-upload-routing\output-samples\success-csv-upload.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1916","2026-05-26 12:41:11"
"components\cat-2\c2-g-file-upload-routing\output-samples\success-image-upload.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1879","2026-05-26 12:41:11"
"components\cat-2\c2-g-file-upload-routing\output-samples\success-pdf-upload.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1931","2026-05-26 12:41:11"
"components\cat-2\c2-g-file-upload-routing\test-payloads\blocked-extension.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1273","2026-05-26 12:31:52"
"components\cat-2\c2-g-file-upload-routing\test-payloads\csv-upload.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1390","2026-05-26 12:31:52"
"components\cat-2\c2-g-file-upload-routing\test-payloads\file-routing-not-requested.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","688","2026-05-26 12:31:52"
"components\cat-2\c2-g-file-upload-routing\test-payloads\image-upload.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1395","2026-05-26 12:31:52"
"components\cat-2\c2-g-file-upload-routing\test-payloads\missing-file.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","520","2026-05-26 12:31:52"
"components\cat-2\c2-g-file-upload-routing\test-payloads\oversized-file.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1128","2026-05-26 12:31:52"
"components\cat-2\c2-g-file-upload-routing\test-payloads\pdf-upload.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1418","2026-05-26 12:31:52"
"components\cat-2\c2-g-file-upload-routing\test-payloads\upstream-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","658","2026-05-26 12:31:52"
"components\cat-2\c2-g-file-upload-routing\workflows\c2-g-core-file-upload-routing-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","14735","2026-05-26 12:38:42"
"components\cat-2\c2-h-payment-on-intake-flow\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","7128","2026-05-26 18:20:03"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\error-currency-not-allowed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","774","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\error-missing-amount.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","628","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\error-missing-provider.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","604","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\error-not-approved.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","642","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\error-payment-not-requested.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","612","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\error-upstream-action-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","701","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\success-paypal-invoice.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","2296","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\success-razorpay-payment-link.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","2405","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\success-stripe-payment-link.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","2188","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\output-samples\success-wise-manual-payment.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","2347","2026-05-26 18:22:28"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\currency-not-allowed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","737","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\missing-amount.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","669","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\missing-provider.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","666","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\not-approved.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","691","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\payment-not-requested.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","678","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\paypal-invoice.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1257","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\razorpay-payment-link.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1278","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\stripe-payment-link.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1280","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\upstream-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","677","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\test-payloads\wise-manual-payment.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1419","2026-05-26 18:06:01"
"components\cat-2\c2-h-payment-on-intake-flow\workflows\c2-h-core-payment-on-intake-flow-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","18234","2026-05-26 18:15:46"
"components\cat-2\c2-i-notification-alert-engine\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","3776","2026-05-25 15:44:48"
"components\cat-2\c2-i-notification-alert-engine\output-samples\error-missing-recipient.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1027","2026-05-25 15:43:56"
"components\cat-2\c2-i-notification-alert-engine\output-samples\error-upstream-action-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1011","2026-05-25 15:43:56"
"components\cat-2\c2-i-notification-alert-engine\output-samples\success-output.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","975","2026-05-25 15:43:56"
"components\cat-2\c2-i-notification-alert-engine\test-payloads\email-notify.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1009","2026-05-25 15:30:41"
"components\cat-2\c2-i-notification-alert-engine\test-payloads\missing-recipient.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","979","2026-05-25 15:30:41"
"components\cat-2\c2-i-notification-alert-engine\test-payloads\upstream-write-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1034","2026-05-25 15:30:41"
"components\cat-2\c2-i-notification-alert-engine\workflows\c2-i1-core-email-notification-adapter-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","11994","2026-05-25 15:42:37"
"components\cat-2\c2-j-digest-summary-notification-builder\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","4612","2026-05-25 22:06:28"
"components\cat-2\c2-j-digest-summary-notification-builder\output-samples\error-digest-not-requested.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","536","2026-05-25 22:06:50"
"components\cat-2\c2-j-digest-summary-notification-builder\output-samples\error-missing-records.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","542","2026-05-25 22:06:50"
"components\cat-2\c2-j-digest-summary-notification-builder\output-samples\error-upstream-action-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","650","2026-05-25 22:06:50"
"components\cat-2\c2-j-digest-summary-notification-builder\output-samples\success-approval-digest.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1682","2026-05-25 22:06:50"
"components\cat-2\c2-j-digest-summary-notification-builder\output-samples\success-daily-digest.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1942","2026-05-25 22:06:50"
"components\cat-2\c2-j-digest-summary-notification-builder\output-samples\success-error-digest.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1633","2026-05-25 22:06:50"
"components\cat-2\c2-j-digest-summary-notification-builder\test-payloads\approval-digest.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1330","2026-05-25 21:58:33"
"components\cat-2\c2-j-digest-summary-notification-builder\test-payloads\daily-digest.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","2011","2026-05-25 21:58:33"
"components\cat-2\c2-j-digest-summary-notification-builder\test-payloads\digest-not-requested.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","627","2026-05-25 21:58:33"
"components\cat-2\c2-j-digest-summary-notification-builder\test-payloads\error-digest.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1379","2026-05-25 21:58:33"
"components\cat-2\c2-j-digest-summary-notification-builder\test-payloads\missing-records.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","619","2026-05-25 21:58:33"
"components\cat-2\c2-j-digest-summary-notification-builder\test-payloads\upstream-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","737","2026-05-25 21:58:33"
"components\cat-2\c2-j-digest-summary-notification-builder\workflows\c2-j-core-digest-summary-notification-builder-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","13037","2026-05-25 22:03:59"
"components\cat-2\c2-k-llm-in-workflow-adapter\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","5177","2026-05-25 20:05:11"
"components\cat-2\c2-k-llm-in-workflow-adapter\output-samples\error-ai-not-requested.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","681","2026-05-25 20:06:55"
"components\cat-2\c2-k-llm-in-workflow-adapter\output-samples\error-missing-model.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","644","2026-05-25 20:06:55"
"components\cat-2\c2-k-llm-in-workflow-adapter\output-samples\error-upstream-action-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","778","2026-05-25 20:06:55"
"components\cat-2\c2-k-llm-in-workflow-adapter\output-samples\success-content-classification.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1115","2026-05-25 20:06:55"
"components\cat-2\c2-k-llm-in-workflow-adapter\output-samples\success-lead-summary.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1200","2026-05-25 20:06:55"
"components\cat-2\c2-k-llm-in-workflow-adapter\test-payloads\ai-not-requested.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","792","2026-05-25 19:20:26"
"components\cat-2\c2-k-llm-in-workflow-adapter\test-payloads\content-classification.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1073","2026-05-25 19:20:26"
"components\cat-2\c2-k-llm-in-workflow-adapter\test-payloads\lead-summary.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1035","2026-05-25 19:20:26"
"components\cat-2\c2-k-llm-in-workflow-adapter\test-payloads\missing-model.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","747","2026-05-25 19:20:26"
"components\cat-2\c2-k-llm-in-workflow-adapter\test-payloads\upstream-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","832","2026-05-25 19:20:26"
"components\cat-2\c2-k-llm-in-workflow-adapter\workflows\c2-k-core-groq-openai-compatible-llm-adapter-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","14403","2026-05-25 19:59:34"
"components\cat-2\c2-l-calendar-scheduling-automation\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","6701","2026-05-26 17:35:38"
"components\cat-2\c2-l-calendar-scheduling-automation\output-samples\error-missing-booking-url.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","640","2026-05-26 17:37:10"
"components\cat-2\c2-l-calendar-scheduling-automation\output-samples\error-missing-event-time.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","680","2026-05-26 17:37:10"
"components\cat-2\c2-l-calendar-scheduling-automation\output-samples\error-missing-provider.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","606","2026-05-26 17:37:10"
"components\cat-2\c2-l-calendar-scheduling-automation\output-samples\error-scheduling-not-requested.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","627","2026-05-26 17:37:10"
"components\cat-2\c2-l-calendar-scheduling-automation\output-samples\error-upstream-action-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","709","2026-05-26 17:37:10"
"components\cat-2\c2-l-calendar-scheduling-automation\output-samples\success-cal-com-link.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","2249","2026-05-26 17:37:10"
"components\cat-2\c2-l-calendar-scheduling-automation\output-samples\success-calendly-link.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","2261","2026-05-26 17:37:10"
"components\cat-2\c2-l-calendar-scheduling-automation\output-samples\success-google-calendar-event.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","2200","2026-05-26 17:37:10"
"components\cat-2\c2-l-calendar-scheduling-automation\output-samples\success-manual-scheduling.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1970","2026-05-26 17:37:10"
"components\cat-2\c2-l-calendar-scheduling-automation\test-payloads\cal-com-link.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1241","2026-05-26 17:25:57"
"components\cat-2\c2-l-calendar-scheduling-automation\test-payloads\calendly-link.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1248","2026-05-26 17:25:57"
"components\cat-2\c2-l-calendar-scheduling-automation\test-payloads\google-calendar-event.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1297","2026-05-26 17:25:57"
"components\cat-2\c2-l-calendar-scheduling-automation\test-payloads\manual-scheduling.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1173","2026-05-26 17:25:57"
"components\cat-2\c2-l-calendar-scheduling-automation\test-payloads\missing-booking-url.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","612","2026-05-26 17:25:57"
"components\cat-2\c2-l-calendar-scheduling-automation\test-payloads\missing-event-time.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","693","2026-05-26 17:25:57"
"components\cat-2\c2-l-calendar-scheduling-automation\test-payloads\missing-provider.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","649","2026-05-26 17:25:57"
"components\cat-2\c2-l-calendar-scheduling-automation\test-payloads\scheduling-not-requested.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","676","2026-05-26 17:25:57"
"components\cat-2\c2-l-calendar-scheduling-automation\test-payloads\upstream-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","729","2026-05-26 17:25:57"
"components\cat-2\c2-l-calendar-scheduling-automation\workflows\c2-l-core-calendar-scheduling-automation-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","16614","2026-05-26 17:32:46"
"components\cat-2\c2-m-whatsapp-message-automation\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","6348","2026-05-26 18:00:16"
"components\cat-2\c2-m-whatsapp-message-automation\output-samples\error-missing-message-body.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","615","2026-05-26 18:01:14"
"components\cat-2\c2-m-whatsapp-message-automation\output-samples\error-missing-provider.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","590","2026-05-26 18:01:14"
"components\cat-2\c2-m-whatsapp-message-automation\output-samples\error-missing-recipient-phone.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","605","2026-05-26 18:01:14"
"components\cat-2\c2-m-whatsapp-message-automation\output-samples\error-not-approved.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","629","2026-05-26 18:01:14"
"components\cat-2\c2-m-whatsapp-message-automation\output-samples\error-upstream-action-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","687","2026-05-26 18:01:14"
"components\cat-2\c2-m-whatsapp-message-automation\output-samples\error-whatsapp-not-requested.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","599","2026-05-26 18:01:14"
"components\cat-2\c2-m-whatsapp-message-automation\output-samples\success-manual-whatsapp.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1829","2026-05-26 18:01:14"
"components\cat-2\c2-m-whatsapp-message-automation\output-samples\success-twilio-whatsapp.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1839","2026-05-26 18:01:14"
"components\cat-2\c2-m-whatsapp-message-automation\output-samples\success-wati-handoff.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1770","2026-05-26 18:01:14"
